Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20060104,GC2,2,15.667,0.24402,1.24936
20060104,SI2,1,10.000,0.04400,0.19800
20060105,SB2,4,3.327,2.75681,5.95470
20060109,NQ,2,-40.130,-0.40380,-0.64608
20060109,ES,2,-27.507,-0.39439,-1.10430
20060116,LLG,2,-0.866,-0.29040,-0.69696
20060130,NK,1,-670.000,-1.67750,-1.34200
20060130,FCE,2,-13.135,-0.06493,-0.10908
20060201,PA2,1,0.151,0.00253,0.00404
20060201,CD,1,-0.015,-1.46140,-0.58456
20060216,LES,7,-0.160,-0.81250,-1.13750
20060221,W2,3,-14.710,-0.30854,-0.88860
20060303,SI2,1,357.309,1.58760,7.14418
20060314,FCE,2,5.570,0.02414,0.04056
20060316,ES,2,-19.820,-0.28457,-0.79680
20060320,HG2,1,49.510,3.99113,4.94900
20060323,PA2,1,0.980,0.02325,0.03720
20060330,GO,1,17.668,0.55929,0.70470
20060330,NK,1,-315.550,-0.79138,-0.63310
20060331,GC2,1,100.489,1.56936,4.01756
20060407,PA2,1,5.000,0.12375,0.19800
20060419,EC,1,0.021,1.17706,1.05935
20060424,HG2,1,11.318,0.91117,1.12985
20060427,CD,2,0.002,0.16140,0.12912
20060502,HG2,1,32.000,2.57903,3.19800
20060503,BP,1,0.008,0.42984,0.20632
20060508,FCE,2,-144.000,-0.68810,-1.15600
20060511,RB2,1,-0.232,-1.94980,-3.89960
20060511,SF,1,-0.010,-0.61456,-0.49165
20060512,HO2,1,-0.135,-1.45626,-2.27176
20060512,SI2,1,-170.000,-0.75600,-3.40200
20060515,W2,2,-3.845,-0.08219,-0.15780
20060531,CD,1,-0.020,-2.00330,-0.80132
20060613,CD,1,-0.019,-1.85570,-0.74228
20060714,CL2,1,-5.468,-1.21624,-2.18924
20060731,AD,1,-0.017,-1.15260,-0.69156
20060804,BP,1,-0.025,-1.30573,-0.62675
20060808,GO,1,-49.508,-1.57325,-1.98230
20060810,RR2,3,-27.730,-0.55960,-0.67152
20060821,TY2,2,0.485,0.43594,0.38363
20060822,EC,1,-0.028,-1.57550,-1.41795
20060831,FCE,1,102.930,0.48776,0.40972
20060911,BAX,7,-0.079,-0.64791,-0.56420
20060919,ES,1,82.435,1.17621,1.64670
20060921,LES,10,-0.011,-0.06300,-0.12600
20060922,TU2,4,-0.203,-1.82959,-0.65865
20060922,ED,7,-0.093,-1.18875,-0.66570
20060926,LLG,2,-1.330,-0.44487,-1.06768
20061005,NK,1,-217.600,-0.54650,-0.43720
20061005,NQ,2,57.132,0.56883,0.91012
20061017,W2,2,-36.428,-0.76099,-1.46110
20061101,AD,2,-0.000,-0.00553,-0.00664
20061101,BP,1,0.032,1.67911,0.80597
20061127,S2,2,-30.390,-0.44838,-1.21960
20061128,SI2,1,-48.725,-0.21700,-0.97650
20061128,TY2,2,-0.450,-0.41320,-0.36362
20061204,BAX,8,-0.138,-1.12460,-1.11920
20061204,TU2,4,-0.360,-3.21956,-1.15904
20061215,FCE,2,33.125,0.15536,0.26100
20061215,NK,1,666.950,1.66488,1.33190
20070103,AD,2,-0.017,-1.14813,-1.37776
20070109,RR2,3,-33.985,-0.68470,-0.82164
20070112,NQ,2,-62.140,-0.62390,-0.99824
20070116,S2,2,25.840,0.37853,1.02960
20070123,PA2,1,-13.342,-0.33480,-0.53568
20070124,BP,1,-0.039,-2.01984,-0.96953
20070202,GC2,1,-4.364,-0.06897,-0.17656
20070222,SI2,1,-57.581,-0.25636,-1.15362
20070319,AD,2,0.024,1.60787,1.92944
20070319,EC,1,0.008,0.45417,0.40875
20070320,RB2,1,0.114,0.95407,1.90814
20070412,PA2,1,-5.707,-0.14393,-0.23028
20070413,GO,1,7.352,0.23183,0.29210
20070413,HO2,1,0.057,0.61611,0.96113
20070413,BP,1,-0.010,-0.52047,-0.24983
20070416,FCE,2,239.205,1.13669,1.90964
20070417,ES,1,24.122,0.34318,0.48045
20070418,HG2,1,-20.284,-1.63742,-2.03040
20070420,CD,2,0.059,5.89470,4.71576
20070425,RB2,1,0.131,1.10158,2.20315
20070425,SF,1,-0.018,-1.15244,-0.92195
20070518,NG2,1,-0.851,-4.05543,-3.40656
20070522,NQ,2,54.678,0.54428,0.87084
20070522,S2,1,12.363,0.18033,0.24525
20070601,NK,1,-390.750,-0.97937,-0.78350
20070606,AD,2,0.029,1.89813,2.27776
20070611,W2,1,26.280,0.54542,0.52360
20070702,BP,1,0.026,1.34661,0.64637
20070703,S2,1,2.007,0.02805,0.03815
20070709,RB2,1,-0.131,-1.09999,-2.19998
20070711,EC,1,-0.015,-0.86100,-0.77490
20070713,ES,1,-42.095,-0.60279,-0.84390
20070716,CL2,1,-0.880,-0.19676,-0.35416
20070723,HG2,1,-28.853,-2.32843,-2.88725
20070725,W2,1,171.747,3.57599,3.43295
20070816,ED,7,0.052,0.62813,0.35175
20070906,TY2,2,-0.691,-0.63281,-0.55687
