Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19951228,PA2,-95,4.100,-0.10375,-0.39425
19960105,HG2,-33,3.300,-0.26774,-0.27390
19960108,LB,-24,11.309,-0.86137,-0.29976
19960118,BP,-31,0.013,-0.69708,-0.25931
19960119,SF,-17,0.005,-0.33525,-0.11399
19960123,RR2,-51,31.980,-0.64460,-0.32875
19960129,PA2,-90,6.536,-0.16466,-0.59278
19960129,CD,-50,0.010,-1.00850,-0.50425
19960322,JY,-19,0.004,-0.15379,-0.09058
19960329,LLG,-27,2.178,-0.72767,-0.58941
19960408,TU2,-65,0.479,-4.27743,-0.62557
19960408,TY2,-37,0.950,-0.86819,-0.35335
19960408,ED,-101,0.080,-1.02000,-0.20604
19960410,SF,-23,-0.026,1.59450,0.73347
19960412,BP,-36,0.006,-0.33583,-0.14508
19960429,GC2,-70,-8.431,0.13095,0.58667
19960430,SI2,-44,24.101,-0.10756,-0.53242
19960503,TU2,-62,0.207,-1.85973,-0.25943
19960513,CT2,-31,-0.533,0.16334,0.08102
19960529,JY,-22,-0.002,0.08355,0.05698
19960531,LES,-89,0.100,-0.51000,-0.22695
19960605,SI2,-44,-4.839,0.02106,0.10426
19960606,PA2,-83,6.957,-0.17518,-0.58158
19960610,TY2,-34,1.178,-1.07542,-0.40221
19960619,CT2,-32,-0.550,0.16875,0.08640
19960625,HG2,-33,2.557,-0.20782,-0.21260
19960708,TU2,-56,0.641,-5.72035,-0.72076
19960806,CD,-88,0.006,-0.61980,-0.54542
19960812,NK,-18,610.000,-1.52750,-0.54990
19960815,PA2,-103,-8.123,0.20182,0.83152
19960828,NG2,-23,0.102,-0.48576,-0.23462
19960830,NK,-18,640.000,-1.60250,-0.57690
19960911,GC2,-114,-1.268,0.01903,0.13885
19960912,JY,-24,-0.021,0.83556,0.62166
19960912,W2,-28,-35.830,0.74438,0.50022
19960920,SI2,-51,14.058,-0.06292,-0.36103
19961029,SB2,-93,0.243,-0.20547,-0.25797
19961030,PA2,-124,4.733,-0.11959,-0.59315
19961030,SI2,-53,10.734,-0.04815,-0.28710
19961031,LSS,-254,-0.133,0.46250,0.41116
19961101,GC2,-124,4.936,-0.07791,-0.61826
19961101,SF,-24,-0.102,6.38362,3.06414
19961101,S2,-29,39.196,-0.57789,-0.56980
19961120,GC2,-122,-23.020,0.35891,2.80234
19961126,PA2,-122,3.754,-0.09511,-0.46415
19961202,JY,-26,0.012,-0.47931,-0.38633
19961203,SI2,-53,14.796,-0.06620,-0.39474
19961219,NK,-19,-1600.000,3.99750,1.51905
19961226,JY,-27,-0.051,2.06290,1.72665
19970122,SB2,-111,0.480,-0.40193,-0.60229
19970128,NK,-16,127.650,-0.32162,-0.10292
19970130,GC2,-93,-1.999,0.03045,0.18125
19970130,W2,-48,6.003,-0.12714,-0.14646
19970206,AD,-39,0.009,-0.63000,-0.36855
19970211,GO,-35,-13.035,0.41222,0.45448
19970214,HO2,-24,-0.017,0.18228,0.17061
19970219,CT2,-42,2.405,-0.75466,-0.50713
19970307,TU2,-83,-0.232,2.04020,0.38101
19970312,CL2,-31,2.221,-0.49467,-0.69006
19970314,BP,-23,0.033,-1.74344,-0.48119
19970314,ED,-147,-0.082,0.99687,0.29308
19970314,TY2,-44,0.009,-0.01278,-0.00619
19970318,CD,-68,-0.008,0.81250,0.55250
19970325,NG2,-11,0.449,-2.14048,-0.49445
19970326,CT2,-45,0.134,-0.04500,-0.03240
19970327,JY,-20,-0.000,0.00121,0.00075
19970403,CL2,-31,1.155,-0.25776,-0.35957
19970411,NK,-13,680.000,-1.70250,-0.44265
19970416,GC2,-62,8.313,-0.13067,-0.51851
19970605,GC2,-59,-13.998,0.21794,0.82293
19970605,LB,-21,10.485,-0.79886,-0.24325
19970609,CL2,-35,1.229,-0.27418,-0.43183
19970612,AD,-35,-0.004,0.24260,0.12737
19970619,GO,-52,8.688,-0.27738,-0.45435
19970619,LSS,-254,-0.197,0.68893,0.61246
19970626,CD,-62,0.009,-0.91590,-0.56786
19970630,W2,-42,17.578,-0.36828,-0.37123
19970701,SI2,-43,-20.419,0.09031,0.43686
19970701,RR2,-56,-4.295,0.08090,0.04530
19970708,CT2,-46,-7.242,2.26007,1.66341
19970724,LB,-22,20.788,-1.58047,-0.50417
19970730,SF,-22,0.015,-0.91156,-0.40109
19970811,CD,-62,0.006,-0.59920,-0.37150
19970818,HG2,-32,-20.130,1.62177,1.60880
19970827,HO2,-39,0.024,-0.26276,-0.39966
19970903,AD,-34,0.008,-0.52573,-0.26812
19970910,LB,-23,-2.532,0.18863,0.06291
19970911,GO,-70,8.825,-0.28175,-0.62125
19970912,NK,-15,-1540.000,3.84750,1.15425
19970917,JY,-15,-0.043,1.71270,0.79641
19970918,GC2,-62,12.700,-0.19922,-0.79050
19971010,LES,-94,0.100,-0.51000,-0.23970
19971023,AD,-34,0.003,-0.18920,-0.09649
19971023,CD,-72,-0.019,1.90520,1.37174
19971027,GC2,-58,7.658,-0.12044,-0.44706
19971103,LB,-24,20.000,-1.52069,-0.52920
19971107,LSS,-248,0.006,-0.03571,-0.03100
19971113,GC2,-55,-15.663,0.24395,0.85871
19971113,W2,-57,-20.892,0.43318,0.59259
19971120,AD,-28,-0.043,2.88533,1.21184
19971210,LB,-26,-8.100,0.61103,0.23036
19971215,ND,-8,38.983,-0.39032,-0.31226
19971223,CL2,-44,-1.447,0.32042,0.63444
19971223,HO2,-38,-0.034,0.36746,0.54457
19971223,GO,-66,-12.845,0.40619,0.84447
19971223,NK,-11,1040.000,-2.60250,-0.57255
19971223,BAX,-87,0.272,-2.20096,-0.59552
19980102,JY,-17,0.016,-0.66355,-0.34969
19980105,NG2,-14,0.303,-1.44648,-0.42526
19980106,GC2,-58,6.158,-0.09700,-0.36006
19980112,CT2,-53,1.240,-0.39063,-0.33125
19980121,CD,-70,-0.003,0.30780,0.21546
19980206,SB2,-118,-0.837,0.69078,1.10041
19980213,HO2,-39,0.017,-0.18759,-0.28532
19980217,GO,-62,-13.733,0.43437,0.84832
19980218,CL2,-42,-1.177,0.26040,0.49216
19980218,RR2,-75,-51.115,1.01730,0.76297
19980219,HG2,-44,3.597,-0.29165,-0.39782
19980220,CT2,-53,1.833,-0.57587,-0.48834
19980224,S2,-35,-8.908,0.12952,0.15413
19980225,W2,-64,17.342,-0.36339,-0.55816
19980306,SF,-22,-0.001,0.08075,0.03553
19980323,W2,-68,-18.105,0.37510,0.61217
19980331,JY,-17,0.011,-0.43722,-0.23041
19980407,CT2,-48,4.120,-1.29063,-0.99120
19980417,SB2,-95,0.034,-0.03150,-0.04039
19980427,LB,-26,-31.614,2.39485,0.90286
19980428,TY2,-48,1.172,-1.06988,-0.56490
19980428,ED,-137,0.171,-2.15875,-0.59150
19980428,TU2,-70,0.390,-3.48667,-0.54915
19980506,AD,-25,-0.031,2.03547,0.76330
19980512,SI2,-20,-15.900,0.07022,0.15800
19980513,LES,-105,0.147,-0.74550,-0.39139
19980518,JY,-17,-0.034,1.38774,0.73134
19980520,W2,-68,-7.155,0.14698,0.23987
19980521,CL2,-38,-0.936,0.20693,0.35386
19980521,HO2,-39,0.000,-0.00652,-0.00991
19980527,CD,-59,-0.046,4.63020,2.73182
19980527,S2,-45,8.327,-0.12393,-0.18962
19980529,SB2,-87,-0.171,0.13800,0.16208
19980604,GO,-59,1.000,-0.03333,-0.06195
19980605,LSS,-254,-0.166,0.57750,0.51340
19980608,LES,-106,-0.029,0.13500,0.07155
19980610,NG2,-24,0.233,-1.11395,-0.56143
19980612,NK,-15,366.450,-0.91863,-0.27559
19980616,HG2,-41,3.400,-0.27581,-0.35055
19980625,SF,-27,0.002,-0.11894,-0.06423
19980630,W2,-68,-27.310,0.56688,0.92514
19980708,GO,-58,-8.415,0.26556,0.48517
19980708,HO2,-39,-0.023,0.24684,0.37545
19980715,S2,-41,27.190,-0.40132,-0.55944
19980722,NG2,-23,-0.086,0.40824,0.19718
19980722,S2,-40,4.500,-0.06765,-0.09200
19980728,BAX,-124,0.110,-0.90032,-0.34720
19980803,GC2,-64,-3.310,0.05094,0.20864
19980804,JY,-16,0.021,-0.83617,-0.41474
19980811,CL2,-38,1.285,-0.28669,-0.49024
19980817,BP,-29,0.029,-1.51125,-0.52592
19980818,SI2,-28,-5.250,0.02289,0.07210
19980824,AD,-25,-0.002,0.15193,0.05698
19980827,BAX,-117,-0.201,1.60048,0.58237
19980827,SB2,-74,-0.126,0.10066,0.10056
19980901,HG2,-44,4.950,-0.40081,-0.54670
19980910,RR2,-63,-54.040,1.07580,0.67775
19980918,FCE,-22,-284.270,1.35129,0.62429
19981001,NK,-14,653.600,-1.63650,-0.45822
19981009,NK,-13,604.700,-1.51425,-0.39371
19981009,ND,-5,132.857,-1.32907,-0.66453
19981016,CT2,-30,-7.558,2.35879,1.13222
19981028,HG2,-49,-5.042,0.40504,0.61526
19981109,GO,-66,-15.500,0.49048,1.01970
19981110,PA2,-29,18.631,-0.46703,-0.54175
19981118,NG2,-20,-0.549,2.61190,1.09700
19981124,HO2,-42,-0.003,0.03426,0.05611
19981125,CL2,-43,-0.170,0.03673,0.07108
19981203,SI2,-34,38.068,-0.16964,-0.64886
19981222,CL2,-41,1.317,-0.29387,-0.54218
19981222,GO,-61,9.500,-0.30317,-0.58255
19981222,SB2,-80,0.685,-0.57233,-0.61812
19981223,CD,-36,0.016,-1.63610,-0.58900
19990111,BP,-23,-0.005,0.24792,0.06842
19990114,GC2,-66,4.403,-0.06958,-0.29390
19990114,RR2,-89,-132.720,2.64940,2.35797
19990120,HO2,-38,0.006,-0.06965,-0.10321
19990120,W2,-65,-11.932,0.24651,0.38456
19990128,SF,-16,-0.069,4.31394,1.38046
19990129,S2,-50,-33.525,0.49154,0.83562
19990205,TY2,-30,-1.447,1.31051,0.43247
19990205,TU2,-45,-0.226,1.99023,0.20151
19990208,GO,-61,6.358,-0.20341,-0.39086
19990208,ED,-90,0.055,-0.71437,-0.12859
19990211,BAX,-88,-0.157,1.24518,0.34078
19990212,CT2,-32,2.932,-0.91931,-0.47069
19990217,HG2,-64,1.450,-0.11855,-0.23520
19990217,SB2,-79,-1.332,1.10178,1.17505
19990317,GC2,-82,0.971,-0.01595,-0.08372
19990331,RR2,-71,28.955,-0.58410,-0.41471
19990407,BP,-27,0.034,-1.79958,-0.58306
19990505,LLG,-29,-4.402,1.46557,1.27504
19990507,TY2,-39,-1.637,1.48324,0.63631
19990511,GC2,-81,-19.732,0.30753,1.59424
19990514,S2,-51,-42.238,0.61967,1.07451
19990517,JY,-13,0.023,-0.91738,-0.36970
19990517,ED,-129,-0.088,1.07375,0.27703
19990517,TU2,-59,-0.196,1.72081,0.22844
19990520,W2,-61,-10.830,0.22354,0.32726
19990525,CT2,-32,-3.907,1.21772,0.62347
19990527,EC,-16,-0.004,0.19333,0.06960
19990617,BP,-29,-0.007,0.37229,0.12956
19990630,ED,-140,0.181,-2.28625,-0.64015
19990712,GBS,-167,-0.066,0.15590,0.10154
19990726,BAX,-85,0.040,-0.33521,-0.08861
19990726,LSS,-221,-0.056,0.18500,0.14310
19990730,LEU,-189,-0.020,0.08850,0.08363
19990802,ED,-130,0.146,-1.84875,-0.48067
19990810,TY2,-38,1.559,-1.42174,-0.59429
19990810,TU2,-66,0.461,-4.12027,-0.61186
19990824,GC2,-84,5.212,-0.08222,-0.44201
19990825,RR2,-66,-67.510,1.34520,0.88783
19990826,AD,-30,0.019,-1.25853,-0.56634
19990909,LSS,-216,0.099,-0.36857,-0.27864
19990913,LLG,-23,0.737,-0.24727,-0.17061
