Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19960419,RR2,64,9.080,0.17660,0.11302
19960426,HG2,40,-0.716,-0.05935,-0.07360
19960503,LB,23,-20.595,-1.56582,-0.52220
19960514,SP,10,-7.160,-0.10256,-0.17949
19960524,LB,22,-15.314,-1.16520,-0.37170
19960614,LSS,219,0.141,0.49000,0.37559
19960621,NK,19,-705.000,-1.76500,-0.67070
19960628,CL2,29,4.835,1.07329,1.40064
19960628,BAX,69,0.830,6.65756,1.42865
19960702,GO,44,53.750,1.70476,2.36280
19960703,BP,40,-0.021,-1.11188,-0.53370
19960705,LLG,29,-0.123,-0.04277,-0.03721
19960712,HO2,28,0.162,1.74146,1.90167
19960715,S2,29,-28.759,-0.42439,-0.41845
19960715,SB2,78,-0.194,-0.16440,-0.17312
19960725,RR2,62,-23.780,-0.48060,-0.29797
19960806,LB,22,44.500,3.37241,1.07580
19960826,SF,23,-0.022,-1.34725,-0.61973
19960904,BP,40,0.098,5.08896,2.44270
19960912,LES,88,0.444,2.21000,0.97240
19960913,BAX,84,1.505,12.08521,3.15714
19960913,S2,26,-42.000,-0.61912,-0.54730
19960916,LLG,39,1.467,0.48733,0.57018
19960925,GO,53,8.220,0.25937,0.43301
19960927,ED,97,0.231,2.86750,0.55629
19961007,SP,10,29.910,0.42701,0.74726
19961007,TU2,62,0.208,1.82624,0.25476
19961007,TY2,39,0.781,0.70568,0.30274
19961017,LB,20,53.600,4.06276,1.17820
19961021,CD,101,0.004,0.42130,0.42551
19961107,FCE,90,66.165,0.31269,0.59099
19961107,ND,14,22.891,0.22841,0.31977
19961113,HG2,33,4.450,0.35726,0.36547
19961121,AD,44,0.003,0.19033,0.12562
19961122,NG2,17,-0.375,-1.78857,-0.63852
19961126,LLG,34,-1.260,-0.42167,-0.43010
19961206,NG2,16,-0.240,-1.14524,-0.38480
19961206,CL2,31,-1.535,-0.34216,-0.47731
19961216,NG2,15,-0.139,-0.66595,-0.20977
19961217,RR2,88,129.285,2.58070,2.27102
19961219,CL2,30,-0.559,-0.12531,-0.16917
19961230,BP,33,-0.005,-0.28667,-0.11352
19970103,GO,36,-12.570,-0.40063,-0.45432
19970103,LB,18,-20.058,-1.52509,-0.39805
19970108,HG2,34,-4.197,-0.34008,-0.35845
19970108,ND,13,4.092,0.04042,0.05255
19970114,FCE,74,229.500,1.09048,1.69460
19970115,SP,9,-9.801,-0.14030,-0.22097
19970123,LLG,28,-0.087,-0.03070,-0.02579
19970203,PA2,124,7.250,0.18000,0.89280
19970205,SP,9,-5.366,-0.07695,-0.12120
19970206,HG2,34,0.004,-0.00129,-0.00136
19970211,LES,88,-0.195,-0.98650,-0.43406
19970213,S2,39,64.700,0.95000,1.25970
19970214,BAX,68,-0.318,-2.57315,-0.54417
19970218,ED,132,-0.179,-2.26500,-0.59796
19970221,LSS,225,-0.163,-0.59679,-0.46997
19970221,SB2,113,-0.310,-0.26047,-0.39735
19970226,PA2,109,6.597,0.16367,0.71362
19970312,PA2,85,-3.811,-0.09651,-0.32814
19970402,S2,33,-25.868,-0.38188,-0.42846
19970410,SB2,112,-0.357,-0.29963,-0.45304
19970422,W2,46,-21.763,-0.45547,-0.50284
19970501,HG2,34,4.934,0.39629,0.41769
19970501,S2,29,-37.228,-0.54893,-0.54125
19970506,SP,6,75.871,1.08359,1.13777
19970507,LLG,29,-0.825,-0.27660,-0.24064
19970512,PA2,57,2.350,0.05750,0.13110
19970513,FCE,49,-54.720,-0.26295,-0.27058
19970515,NK,13,-270.000,-0.67750,-0.17615
19970530,PA2,50,-7.000,-0.17625,-0.35250
19970602,LES,118,-0.257,-1.29650,-0.76494
19970603,SB2,112,-0.400,-0.33556,-0.50736
19970616,PA2,41,-14.136,-0.35465,-0.58163
19970616,FCE,42,42.895,0.20188,0.17806
19970618,ND,10,86.850,0.86800,0.86800
19970624,BP,25,-0.017,-0.88979,-0.26694
19970707,TY2,49,0.447,0.40198,0.21667
19970707,TU2,82,0.041,0.33931,0.06260
19970707,ED,138,-0.006,-0.09500,-0.02622
19970714,LLG,30,4.993,1.66273,1.49646
19970723,SB2,111,-0.203,-0.17179,-0.25742
19970724,FCE,37,-147.500,-0.70476,-0.54760
19970728,PA2,35,16.500,0.41125,0.57575
19970805,NG2,30,0.025,0.11752,0.07404
19970821,ND,9,-63.197,-0.63247,-0.56922
19970829,NG2,27,0.259,1.23176,0.69841
19970917,TU2,81,-0.059,-0.54408,-0.09916
19970917,BAX,80,-0.146,-1.18650,-0.29520
19970918,ED,148,-0.039,-0.51000,-0.15096
19971003,TY2,50,-0.889,-0.81278,-0.44703
19971006,GO,71,-10.655,-0.33984,-0.76006
19971006,HO2,39,-0.038,-0.41590,-0.63258
19971006,FCE,33,-170.115,-0.81245,-0.56303
19971006,SP,5,-31.656,-0.45251,-0.39595
19971013,RR2,57,-47.180,-0.94860,-0.54070
19971017,PA2,32,-18.285,-0.45837,-0.58672
19971021,NG2,21,0.080,0.37814,0.16676
19971028,TU2,80,-0.546,-4.87724,-0.87790
19971028,TY2,47,-1.449,-1.32216,-0.68355
19971031,SF,22,-0.018,-1.14106,-0.50207
19971031,ED,145,-0.176,-2.22000,-0.64380
19971031,SB2,111,-0.360,-0.30229,-0.45298
19971107,S2,28,-24.587,-0.36305,-0.34563
19971124,SI2,37,34.300,0.15200,0.63270
19971212,TY2,44,1.052,0.95142,0.46049
19971215,TU2,72,0.344,3.03387,0.49149
19971216,LLG,28,0.806,0.26700,0.22428
19980106,ED,140,0.075,0.90750,0.25410
19980108,LES,99,0.380,1.89150,0.93629
19980112,PA2,43,10.000,0.24875,0.42785
